x,y
0.000000,0.038500
0.200000,0.038500
0.400000,0.038500
0.600000,0.038500
0.800000,0.038500
1.000000,0.038500
1.200000,0.038500
1.400000,0.038500
1.600000,0.038500
1.800000,0.038500
2.000000,0.038500
2.200000,0.038500
2.400000,0.038500
2.600000,0.038500
2.800000,0.038500
3.000000,0.038500
3.200000,0.038500
3.400000,0.038500
3.600000,0.038500
3.800000,0.038500
4.000000,0.038500
4.200000,0.038500
4.400000,0.038500
4.600000,0.038500
4.800000,0.038500
5.000000,0.038500
5.200000,0.038500
5.400000,0.038500
5.600000,0.038500
5.800000,0.038500
6.000000,0.038500
6.200000,0.038500
6.400000,0.038500
6.600000,0.038500
6.800000,0.038500
7.000000,0.038500
7.200000,0.038500
7.400000,0.038500
7.600000,0.038500
7.800000,0.038500
8.000000,0.038500
8.200000,0.038500
8.400000,0.038500
8.600000,0.038500
8.800000,0.038500
9.000000,0.038500
9.200000,0.038500
9.400000,0.038500
9.600000,0.038500
9.800000,0.038500
10.000000,0.038500
10.200000,0.038500
10.400000,0.038500
10.600000,0.038500
10.800000,0.038500
11.000000,0.038500
11.200000,0.038500
11.400000,0.038500
11.600000,0.038500
11.800000,0.038500
12.000000,0.038500
12.200000,0.038500
12.400000,0.038500
12.600000,0.038500
12.800000,0.038500
13.000000,0.038500
13.200000,0.038500
13.400000,0.038500
13.600000,0.038500
13.800000,0.038500
14.000000,0.038500
14.200000,0.038500
14.400000,0.038500
14.600000,0.038500
14.800000,0.038500
15.000000,0.038500
15.200000,0.038500
15.400000,0.038500
15.600000,0.038500
15.800000,0.038500
16.000000,0.038500
16.200001,0.038500
16.400000,0.038500
16.600000,0.038500
16.799999,0.038500
17.000000,0.038500
17.200001,0.038500
17.400000,0.038500
17.600000,0.038500
17.799999,0.038500
18.000000,0.038500
18.200001,0.038500
18.400000,0.038500
18.600000,0.038500
18.799999,0.038500
19.000000,0.038500
19.200001,0.038500
19.400000,0.038500
19.600000,0.038500
19.799999,0.038500
20.000000,0.038500
20.200001,0.160767
20.400000,0.270320
20.600000,0.370511
20.799999,0.462443
21.000000,0.546311
21.200001,0.621940
21.400000,0.689040
21.600000,0.747356
21.799999,0.796793
22.000000,0.837503
22.200001,0.869945
22.400000,0.894887
22.600000,0.913351
22.799999,0.926505
23.000000,0.935528
23.200001,0.941498
23.400000,0.945310
23.600000,0.947650
23.799999,0.949010
24.000000,0.949723
24.200001,0.950005
24.400000,0.949993
24.600000,0.949776
24.799999,0.949411
25.000000,0.948935
25.200001,0.948376
25.400000,0.947753
25.600000,0.947081
25.799999,0.946372
26.000000,0.945633
26.200001,0.944873
26.400000,0.944098
26.600000,0.943311
26.799999,0.942518
27.000000,0.941720
27.200001,0.940922
27.400000,0.940125
27.600000,0.939331
27.799999,0.938542
28.000000,0.937759
28.200001,0.936983
28.400000,0.936215
28.600000,0.935456
28.799999,0.934706
29.000000,0.933966
29.200001,0.933236
29.400000,0.932517
29.600000,0.931809
29.799999,0.931112
30.000000,0.930427
30.200001,0.929753
30.400000,0.929090
30.600000,0.928439
30.799999,0.927800
31.000000,0.927172
31.200001,0.926555
31.400000,0.925950
31.600000,0.925356
31.799999,0.924774
32.000000,0.924202
32.200001,0.923642
32.400002,0.923092
32.599998,0.922554
32.799999,0.922026
33.000000,0.921508
33.200001,0.921001
33.400002,0.920504
33.599998,0.920016
33.799999,0.919539
34.000000,0.919072
34.200001,0.918614
34.400002,0.918165
34.599998,0.917726
34.799999,0.917296
35.000000,0.916874
35.200001,0.916462
35.400002,0.916058
35.599998,0.915662
35.799999,0.915275
36.000000,0.914896
36.200001,0.914525
36.400002,0.914161
36.599998,0.913806
36.799999,0.913457
37.000000,0.913117
37.200001,0.912783
37.400002,0.912456
37.599998,0.912137
37.799999,0.911824
38.000000,0.911518
38.200001,0.911218
38.400002,0.910925
38.599998,0.910638
38.799999,0.910357
39.000000,0.910083
39.200001,0.909814
39.400002,0.909550
39.599998,0.909293
39.799999,0.909041
40.000000,0.908795
40.200001,0.908553
40.400002,0.908317
40.599998,0.908086
40.799999,0.907860
41.000000,0.907639
41.200001,0.907423
41.400002,0.907211
41.599998,0.907004
41.799999,0.906801
42.000000,0.906603
42.200001,0.906409
42.400002,0.906219
42.599998,0.906034
42.799999,0.905852
43.000000,0.905674
43.200001,0.905501
43.400002,0.905330
43.599998,0.905164
43.799999,0.905001
44.000000,0.904842
44.200001,0.904686
44.400002,0.904534
44.599998,0.904385
44.799999,0.904239
45.000000,0.904096
45.200001,0.903956
45.400002,0.903820
45.599998,0.903686
45.799999,0.903556
46.000000,0.903428
46.200001,0.903303
46.400002,0.903180
46.599998,0.903060
46.799999,0.902943
