t,I_fixed,I_smooth,slope,dx,dy
0.000000,0.038500,0.038500,0.000000,0,0
0.200000,0.038500,0.038500,0.000000,0,0
0.400000,0.038500,0.038500,0.000000,0,0
0.600000,0.038500,0.038500,0.000000,0,0
0.800000,0.038500,0.038500,0.000000,0,0
1.000000,0.038500,0.038500,0.000000,0,0
1.200000,0.038500,0.038500,0.000000,0,0
1.400000,0.038500,0.038500,0.000000,0,0
1.600000,0.038500,0.038500,0.000000,0,0
1.800000,0.038500,0.038500,0.000000,0,0
2.000000,0.038500,0.038500,0.000000,0,0
2.200000,0.038500,0.038500,0.000000,0,0
2.400000,0.038500,0.038500,0.000000,0,0
2.600000,0.038500,0.038500,0.000000,0,0
2.800000,0.038500,0.038500,0.000000,0,0
3.000000,0.038500,0.038500,0.000000,0,0
3.200000,0.038500,0.038500,0.000000,0,0
3.400000,0.038500,0.038500,0.000000,0,0
3.600000,0.038500,0.038500,0.000000,0,0
3.800000,0.038500,0.038500,0.000000,0,0
4.000000,0.038500,0.038500,0.000000,0,0
4.200000,0.038500,0.038500,0.000000,0,0
4.400000,0.038500,0.038500,0.000000,0,0
4.600000,0.038500,0.038500,0.000000,0,0
4.800000,0.038500,0.038500,0.000000,0,0
5.000000,0.038500,0.038500,0.000000,0,0
5.200000,0.038500,0.038500,0.000000,0,0
5.400000,0.038500,0.038500,0.000000,0,0
5.600000,0.038500,0.038500,0.000000,0,0
5.800000,0.038500,0.038500,0.000000,0,0
6.000000,0.038500,0.038500,0.000000,0,0
6.200000,0.038500,0.038500,0.000000,0,0
6.400000,0.038500,0.038500,0.000000,0,0
6.600000,0.038500,0.038500,0.000000,0,0
6.800000,0.038500,0.038500,0.000000,0,0
7.000000,0.038500,0.038500,0.000000,0,0
7.200000,0.038500,0.038500,0.000000,0,0
7.400000,0.038500,0.038500,0.000001,0,0
7.600000,0.038500,0.038501,0.000001,0,0
7.800000,0.038500,0.038501,0.000001,0,0
8.000000,0.038500,0.038501,0.000001,0,0
8.200000,0.038500,0.038501,0.000001,0,0
8.400000,0.038500,0.038501,0.000002,0,0
8.600000,0.038500,0.038502,0.000002,0,0
8.800000,0.038500,0.038502,0.000002,0,0
9.000000,0.038500,0.038502,0.000003,0,0
9.200000,0.038500,0.038503,0.000003,0,0
9.400000,0.038500,0.038503,0.000004,0,0
9.600000,0.038500,0.038504,0.000005,0,0
9.800000,0.038500,0.038505,0.000006,0,0
10.000000,0.038500,0.038506,0.000008,0,0
10.200000,0.038500,0.038508,0.000009,0,0
10.400000,0.038500,0.038509,0.000011,0,0
10.600000,0.038500,0.038511,0.000014,0,0
10.800000,0.038500,0.038514,0.000017,0,0
11.000000,0.038500,0.038517,0.000021,0,0
11.200000,0.038500,0.038521,0.000025,0,0
11.400000,0.038500,0.038525,0.000031,0,0
11.600000,0.038500,0.038531,0.000038,0,0
11.800000,0.038500,0.038538,0.000046,0,0
12.000000,0.038500,0.038546,0.000056,0,0
12.200000,0.038500,0.038556,0.000069,0,0
12.400000,0.038500,0.038569,0.000084,0,0
12.600000,0.038500,0.038584,0.000102,0,0
12.800000,0.038500,0.038603,0.000125,0,0
13.000000,0.038500,0.038626,0.000153,0,0
13.200000,0.038500,0.038653,0.000186,0,0
13.400000,0.038500,0.038687,0.000228,0,0
13.600000,0.038500,0.038729,0.000278,0,0
13.800000,0.038500,0.038779,0.000340,0,0
14.000000,0.038500,0.038841,0.000415,0,0
14.200000,0.038500,0.038917,0.000507,0,0
14.400000,0.038500,0.039009,0.000619,0,0
14.600000,0.038500,0.039122,0.000756,0,0
14.800000,0.038500,0.039259,0.000923,0,0
15.000000,0.038500,0.039428,0.001128,0,0
15.200000,0.038500,0.039633,0.001377,0,0
15.400000,0.038500,0.039884,0.001682,0,0
15.600000,0.038500,0.040190,0.002055,0,0
15.800000,0.038500,0.040564,0.002510,0,0
16.000000,0.038500,0.041021,0.003065,0,0
16.200001,0.038500,0.041580,0.003744,0,0
16.400000,0.038500,0.042261,0.004573,0,0
16.600000,0.038500,0.043094,0.005586,0,0
16.799999,0.038500,0.044111,0.006822,0,0
17.000000,0.038500,0.045354,0.008333,0,0
17.200001,0.038500,0.046871,0.010177,0,0
17.400000,0.038500,0.048725,0.012431,0,0
17.600000,0.038500,0.050988,0.015183,0,0
17.799999,0.038500,0.053753,0.018545,0,0
18.000000,0.038500,0.057131,0.022650,0,0
18.200001,0.038500,0.061255,0.027665,0,0
18.400000,0.038500,0.066294,0.033790,0,0
18.600000,0.038500,0.072447,0.041272,0,0
18.799999,0.038500,0.079963,0.050318,0,0
19.000000,0.038500,0.089143,0.061043,0,0
19.200001,0.038500,0.100356,0.073425,0,0
19.400000,0.038500,0.114051,0.087279,0,0
19.600000,0.038500,0.130778,0.102249,0,0
19.799999,0.038500,0.151208,0.117800,0,0
20.000000,0.038500,0.176162,0.133228,0,0
20.200001,0.108617,0.206641,0.147768,0,0
20.400000,0.173864,0.241054,0.160693,0,0
20.600000,0.235380,0.278163,0.171406,0,0
20.799999,0.293770,0.316989,0.179532,0,0
21.000000,0.349353,0.356748,0.184902,0,0
21.200001,0.402289,0.396803,0.187536,0,0
21.400000,0.452643,0.436638,0.187611,0,0
21.600000,0.500428,0.475831,0.185426,0,0
21.799999,0.545627,0.514036,0.181349,0,0
22.000000,0.588206,0.550973,0.175761,0,0
22.200001,0.628125,0.586417,0.168972,0,0
22.400000,0.665344,0.620186,0.161249,0,0
22.600000,0.699831,0.652143,0.152817,0,0
22.799999,0.731568,0.682186,0.143874,0,0
23.000000,0.760554,0.710248,0.134596,0,0
23.200001,0.786812,0.736290,0.125138,0,0
23.400000,0.810389,0.760305,0.115640,0,0
23.600000,0.831363,0.782309,0.106225,0,0
23.799999,0.849839,0.802345,0.097003,0,0
24.000000,0.865952,0.820475,0.088069,0,0
24.200001,0.879861,0.836780,0.079503,0,0
24.400000,0.891745,0.851355,0.071370,0,0
24.600000,0.901799,0.864310,0.063722,0,0
24.799999,0.910223,0.875760,0.056594,0,0
25.000000,0.917221,0.885827,0.050009,0,0
25.200001,0.922988,0.894634,0.043975,0,0
25.400000,0.927708,0.902303,0.038490,0,0
25.600000,0.931550,0.908953,0.033541,0,0
25.799999,0.934665,0.914696,0.029107,0,0
26.000000,0.937181,0.919637,0.025159,0,0
26.200001,0.939210,0.923874,0.021665,0,0
26.400000,0.940844,0.927496,0.018589,0,0
26.600000,0.942159,0.930582,0.015893,0,0
26.799999,0.943216,0.933203,0.013541,0,0
27.000000,0.944063,0.935422,0.011495,0,0
27.200001,0.944740,0.937295,0.009722,0,0
27.400000,0.945277,0.938869,0.008187,0,0
27.600000,0.945697,0.940186,0.006862,0,0
27.799999,0.946021,0.941281,0.005719,0,0
28.000000,0.946264,0.942186,0.004735,0,0
28.200001,0.946437,0.942928,0.003886,0,0
28.400000,0.946551,0.943529,0.003155,0,0
28.600000,0.946614,0.944008,0.002526,0,0
28.799999,0.946632,0.944383,0.001983,0,0
29.000000,0.946611,0.944668,0.001514,0,0
29.200001,0.946556,0.944875,0.001110,0,0
29.400000,0.946472,0.945014,0.000760,0,0
29.600000,0.946360,0.945094,0.000457,0,0
29.799999,0.946225,0.945124,0.000194,0,0
30.000000,0.946068,0.945110,-0.000034,0,0
30.200001,0.945893,0.945057,-0.000233,0,0
