t,heat_t0,heat_t1,heat_t2,heat_t3
0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.000000,0.000000
0.400000,0.000000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.000000,0.000000,0.000000,0.000000
1.400000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000
1.800000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000
2.200000,0.000000,0.000000,0.000000,0.000000
2.400000,0.000000,0.000000,0.000000,0.000000
2.600000,0.000000,0.000000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000
3.200000,0.000000,0.000000,0.000000,0.000000
3.400000,0.000000,0.000000,0.000000,0.000000
3.600000,0.000000,0.000000,0.000000,0.000000
3.800000,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000
4.200000,0.000000,0.000000,0.000000,0.000000
4.400000,0.000000,0.000000,0.000000,0.000000
4.600000,0.000000,0.000000,0.000000,0.000000
4.800000,0.000000,0.000000,0.000000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000
5.200000,0.000000,0.000000,0.000000,0.000000
5.400000,0.000000,0.000000,0.000000,0.000000
5.600000,0.000000,0.000000,0.000000,0.000000
5.800000,0.000000,0.000000,0.000000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000
6.200000,0.000000,0.000000,0.000000,0.000000
6.400000,0.000000,0.000000,0.000000,0.000000
6.600000,0.000000,0.000000,0.000000,0.000000
6.800000,0.000000,0.000000,0.000000,0.000000
7.000000,0.000000,0.000000,0.000000,0.000000
7.200000,0.000000,0.000000,0.000000,0.000000
7.400000,0.000000,0.000000,0.000000,0.000000
7.600000,0.000000,0.000000,0.000000,0.000000
7.800000,0.000000,0.000000,0.000000,0.000000
8.000000,0.000000,0.000000,0.000000,0.000000
8.200000,0.000000,0.000000,0.000000,0.000000
8.400000,0.000000,0.000000,0.000000,0.000000
8.600000,0.000000,0.000000,0.000000,0.000000
8.800000,0.000000,0.000000,0.000000,0.000000
9.000000,0.000000,0.000000,0.000000,0.000000
9.200000,0.000000,0.000000,0.000000,0.000000
9.400000,0.000000,0.000000,0.000000,0.000000
9.600000,0.000000,0.000000,0.000000,0.000000
9.800000,0.000000,0.000000,0.000000,0.000000
10.000000,0.000000,0.000000,0.000000,0.000000
10.200000,0.000000,0.000000,0.000000,0.000000
10.400000,0.000000,0.000000,0.000000,0.000000
10.600000,0.000000,0.000000,0.000000,0.000000
10.800000,0.000000,0.000000,0.000000,0.000000
11.000000,0.000000,0.000000,0.000000,0.000000
11.200000,0.000000,0.000000,0.000000,0.000000
11.400000,0.000000,0.000000,0.000000,0.000000
11.600000,0.000000,0.000000,0.000000,0.000000
11.800000,0.000000,0.000000,0.000000,0.000000
12.000000,0.000000,0.000000,0.000000,0.000000
12.200000,0.000000,0.000000,0.000000,0.000000
12.400000,0.000000,0.000000,0.000000,0.000000
12.600000,0.000000,0.000000,0.000000,0.000000
12.800000,0.000000,0.000000,0.000000,0.000000
13.000000,0.000000,0.000000,0.000000,0.000000
13.200000,0.000000,0.000000,0.000000,0.000000
13.400000,0.000000,0.000000,0.000000,0.000000
13.600000,0.000000,0.000000,0.000000,0.000000
13.800000,0.000000,0.000000,0.000000,0.000000
14.000000,0.000000,0.000000,0.000000,0.000000
14.200000,0.000000,0.000000,0.000000,0.000000
14.400000,0.000000,0.000000,0.000000,0.000000
14.600000,0.000000,0.000000,0.000000,0.000000
14.800000,0.000000,0.000000,0.000000,0.000000
15.000000,0.000000,0.000000,0.000000,0.000000
15.200000,0.000000,0.000000,0.000000,0.000000
15.400000,0.000000,0.000000,0.000000,0.000000
15.600000,0.000000,0.000000,0.000000,0.000000
15.800000,0.000000,0.000000,0.000000,0.000000
16.000000,0.000001,0.000000,0.000000,0.000000
16.200001,0.000002,0.000000,0.000000,0.000000
16.400000,0.000008,0.000000,0.000000,0.000000
16.600000,0.000028,0.000000,0.000000,0.000000
16.799999,0.000091,0.000000,0.000000,0.000000
17.000000,0.000277,0.000000,0.000000,0.000000
17.200001,0.000786,0.000000,0.000000,0.000000
17.400000,0.002080,0.000000,0.000000,0.000000
17.600000,0.005123,0.000000,0.000000,0.000000
17.799999,0.011756,0.000000,0.000000,0.000000
18.000000,0.025122,0.000000,0.000000,0.000000
18.200001,0.050001,0.000000,0.000000,0.000000
18.400000,0.092685,0.000000,0.000000,0.000000
18.600000,0.160016,0.000000,0.000000,0.000000
18.799999,0.257295,0.000000,0.000000,0.000000
19.000000,0.385318,0.000000,0.000000,0.000000
19.200001,0.537431,0.000000,0.000000,0.000000
19.400000,0.698140,0.000000,0.000000,0.000000
19.600000,0.844656,0.000000,0.000000,0.000000
19.799999,0.951774,0.000000,0.000000,0.000000
20.000000,0.998861,0.000000,0.000000,0.000000
20.200001,0.976321,0.000001,0.000000,0.000000
20.400000,0.888786,0.000003,0.000000,0.000000
20.600000,0.753562,0.000011,0.000000,0.000000
20.799999,0.595056,0.000037,0.000000,0.000000
21.000000,0.437635,0.000119,0.000000,0.000000
21.200001,0.299767,0.000356,0.000000,0.000000
21.400000,0.191237,0.000996,0.000000,0.000000
21.600000,0.113626,0.002590,0.000000,0.000000
21.799999,0.062878,0.006274,0.000000,0.000000
22.000000,0.032407,0.014155,0.000000,0.000000
22.200001,0.015556,0.029746,0.000000,0.000000
22.400000,0.006955,0.058217,0.000000,0.000000
22.600000,0.002896,0.106120,0.000000,0.000000
22.799999,0.001123,0.180159,0.000000,0.000000
23.000000,0.000406,0.284861,0.000000,0.000000
23.200001,0.000136,0.419496,0.000000,0.000000
23.400000,0.000043,0.575358,0.000000,0.000000
23.600000,0.000012,0.734963,0.000000,0.000000
23.799999,0.000003,0.874399,0.000000,0.000000
24.000000,0.000001,0.968883,0.000000,0.000000
24.200001,0.000000,0.999884,0.000000,0.000000
24.400000,0.000000,0.961047,0.000000,0.000000
24.600000,0.000000,0.860313,0.000000,0.000000
24.799999,0.000000,0.717275,0.000000,0.000000
25.000000,0.000000,0.556969,0.000000,0.000000
25.200001,0.000000,0.402803,0.000000,0.000000
25.400000,0.000000,0.271314,0.000000,0.000000
25.600000,0.000000,0.170203,0.000000,0.000000
25.799999,0.000000,0.099445,0.000000,0.000000
26.000000,0.000000,0.054114,0.000000,0.000000
26.200001,0.000000,0.027426,0.000000,0.000000
26.400000,0.000000,0.012946,0.000000,0.000000
26.600000,0.000000,0.005691,0.000000,0.000000
26.799999,0.000000,0.002330,0.000000,0.000000
