x,y
0.000000,0.038500
0.200000,0.038500
0.400000,0.038500
0.600000,0.038500
0.800000,0.038500
1.000000,0.038500
1.200000,0.038500
1.400000,0.038500
1.600000,0.038500
1.800000,0.038500
2.000000,0.038500
2.200000,0.038500
2.400000,0.038500
2.600000,0.038500
2.800000,0.038500
3.000000,0.038500
3.200000,0.038500
3.400000,0.038500
3.600000,0.038500
3.800000,0.038500
4.000000,0.038500
4.200000,0.038500
4.400000,0.038500
4.600000,0.038500
4.800000,0.038500
5.000000,0.038500
5.200000,0.038500
5.400000,0.038500
5.600000,0.038500
5.800000,0.038500
6.000000,0.038500
6.200000,0.038500
6.400000,0.038500
6.600000,0.038500
6.800000,0.038500
7.000000,0.038500
7.200000,0.038500
7.400000,0.038500
7.600000,0.038500
7.800000,0.038500
8.000000,0.038500
8.200000,0.038500
8.400000,0.038500
8.600000,0.038500
8.800000,0.038500
9.000000,0.038500
9.200000,0.038500
9.400000,0.038500
9.600000,0.038500
9.800000,0.038500
10.000000,0.038500
10.200000,0.038500
10.400000,0.038500
10.600000,0.038500
10.800000,0.038500
11.000000,0.038500
11.200000,0.038500
11.400000,0.038500
11.600000,0.038500
11.800000,0.038500
12.000000,0.038500
12.200000,0.038500
12.400000,0.038500
12.600000,0.038500
12.800000,0.038500
13.000000,0.038500
13.200000,0.038500
13.400000,0.038500
13.600000,0.038500
13.800000,0.038500
14.000000,0.038500
14.200000,0.038500
14.400000,0.038500
14.600000,0.038500
14.800000,0.038500
15.000000,0.038500
15.200000,0.038500
15.400000,0.038500
15.600000,0.038500
15.800000,0.038500
16.000000,0.038500
16.200001,0.038500
16.400000,0.038500
16.600000,0.038500
16.799999,0.038500
17.000000,0.038500
17.200001,0.038500
17.400000,0.038500
17.600000,0.038500
17.799999,0.038500
18.000000,0.038500
18.200001,0.038500
18.400000,0.038500
18.600000,0.038500
18.799999,0.038500
19.000000,0.038500
19.200001,0.038500
19.400000,0.038500
19.600000,0.038500
19.799999,0.038500
20.000000,0.038500
20.200001,0.108617
20.400000,0.173864
20.600000,0.235380
20.799999,0.293770
21.000000,0.349353
21.200001,0.402289
21.400000,0.452643
21.600000,0.500428
21.799999,0.545627
22.000000,0.588206
22.200001,0.628125
22.400000,0.665344
22.600000,0.699831
22.799999,0.731568
23.000000,0.760554
23.200001,0.786812
23.400000,0.810389
23.600000,0.831363
23.799999,0.849839
24.000000,0.865952
24.200001,0.879861
24.400000,0.891745
24.600000,0.901799
24.799999,0.910223
25.000000,0.917221
25.200001,0.922988
25.400000,0.927708
25.600000,0.931550
25.799999,0.934665
26.000000,0.937181
26.200001,0.939210
26.400000,0.940844
26.600000,0.942159
26.799999,0.943216
27.000000,0.944063
27.200001,0.944740
27.400000,0.945277
27.600000,0.945697
27.799999,0.946021
28.000000,0.946264
28.200001,0.946437
28.400000,0.946551
28.600000,0.946614
28.799999,0.946632
29.000000,0.946611
29.200001,0.946556
29.400000,0.946472
29.600000,0.946360
29.799999,0.946225
30.000000,0.946068
30.200001,0.945893
30.400000,0.945701
30.600000,0.945495
30.799999,0.945274
31.000000,0.945042
31.200001,0.944799
31.400000,0.944547
31.600000,0.944286
31.799999,0.944017
32.000000,0.943741
32.200001,0.943459
32.400002,0.943171
32.599998,0.942878
32.799999,0.942581
33.000000,0.942280
33.200001,0.941975
33.400002,0.941667
33.599998,0.941356
33.799999,0.941043
34.000000,0.940727
34.200001,0.940410
34.400002,0.940090
34.599998,0.939770
34.799999,0.939448
35.000000,0.939125
35.200001,0.938801
35.400002,0.938476
35.599998,0.938150
35.799999,0.937824
36.000000,0.937498
36.200001,0.937171
36.400002,0.936844
36.599998,0.936517
36.799999,0.936189
37.000000,0.935862
37.200001,0.935535
37.400002,0.935208
37.599998,0.934881
37.799999,0.934554
38.000000,0.934227
38.200001,0.933901
38.400002,0.933575
38.599998,0.933249
38.799999,0.932923
39.000000,0.932598
39.200001,0.932274
39.400002,0.931949
39.599998,0.931625
39.799999,0.931302
40.000000,0.930979
40.200001,0.930656
40.400002,0.930333
40.599998,0.930011
40.799999,0.929690
41.000000,0.929369
41.200001,0.929048
41.400002,0.928728
41.599998,0.928408
41.799999,0.928088
42.000000,0.927769
42.200001,0.927450
42.400002,0.927132
42.599998,0.926814
42.799999,0.926496
43.000000,0.926179
43.200001,0.925862
43.400002,0.925545
43.599998,0.925229
43.799999,0.924913
44.000000,0.924597
44.200001,0.924282
44.400002,0.923966
44.599998,0.923651
44.799999,0.923337
45.000000,0.923022
45.200001,0.922708
45.400002,0.922394
45.599998,0.922080
45.799999,0.921766
46.000000,0.921453
46.200001,0.921139
46.400002,0.920826
46.599998,0.920513
46.799999,0.920200
